Année;Continent;Population
2024;Asia (except China & India);1927
2025;Asia (except China & India);1946
2026;Asia (except China & India);1965
2027;Asia (except China & India);1983
2028;Asia (except China & India);2001
2029;Asia (except China & India);2019
2030;Asia (except China & India);2037
2031;Asia (except China & India);2055
2032;Asia (except China & India);2072
2033;Asia (except China & India);2089
2034;Asia (except China & India);2106
2035;Asia (except China & India);2123
2036;Asia (except China & India);2139
2037;Asia (except China & India);2155
2038;Asia (except China & India);2171
2039;Asia (except China & India);2186
2040;Asia (except China & India);2202
2041;Asia (except China & India);2217
2042;Asia (except China & India);2231
2043;Asia (except China & India);2245
2044;Asia (except China & India);2259
2045;Asia (except China & India);2273
2046;Asia (except China & India);2286
2047;Asia (except China & India);2299
2048;Asia (except China & India);2311
2049;Asia (except China & India);2323
2050;Asia (except China & India);2335
2051;Asia (except China & India);2346
2052;Asia (except China & India);2357
2053;Asia (except China & India);2367
2054;Asia (except China & India);2377
2055;Asia (except China & India);2386
2056;Asia (except China & India);2395
2057;Asia (except China & India);2404
2058;Asia (except China & India);2412
2059;Asia (except China & India);2420
2060;Asia (except China & India);2427
2061;Asia (except China & India);2434
2062;Asia (except China & India);2441
2063;Asia (except China & India);2447
2064;Asia (except China & India);2453
2065;Asia (except China & India);2459
2066;Asia (except China & India);2464
2067;Asia (except China & India);2469
2068;Asia (except China & India);2474
2069;Asia (except China & India);2479
2070;Asia (except China & India);2483
2071;Asia (except China & India);2486
2072;Asia (except China & India);2490
2073;Asia (except China & India);2493
2074;Asia (except China & India);2496
2075;Asia (except China & India);2498
2076;Asia (except China & India);2500
2077;Asia (except China & India);2502
2078;Asia (except China & India);2504
2079;Asia (except China & India);2505
2080;Asia (except China & India);2506
2081;Asia (except China & India);2507
2082;Asia (except China & India);2507
2083;Asia (except China & India);2508
2084;Asia (except China & India);2508
2085;Asia (except China & India);2507
2086;Asia (except China & India);2507
2087;Asia (except China & India);2506
2088;Asia (except China & India);2505
2089;Asia (except China & India);2504
2090;Asia (except China & India);2502
2091;Asia (except China & India);2500
2092;Asia (except China & India);2499
2093;Asia (except China & India);2497
2094;Asia (except China & India);2494
2095;Asia (except China & India);2492
2096;Asia (except China & India);2489
2097;Asia (except China & India);2486
2098;Asia (except China & India);2483
2099;Asia (except China & India);2479
2100;Asia (except China & India);2476
2024;China;1421
2025;China;1418
2026;China;1414
2027;China;1411
2028;China;1408
2029;China;1404
2030;China;1400
2031;China;1396
2032;China;1391
2033;China;1387
2034;China;1382
2035;China;1376
2036;China;1371
2037;China;1365
2038;China;1359
2039;China;1353
2040;China;1346
2041;China;1339
2042;China;1333
2043;China;1325
2044;China;1318
2045;China;1310
2046;China;1302
2047;China;1294
2048;China;1285
2049;China;1275
2050;China;1265
2051;China;1255
2052;China;1244
2053;China;1233
2054;China;1221
2055;China;1209
2056;China;1196
2057;China;1183
2058;China;1170
2059;China;1156
2060;China;1142
2061;China;1128
2062;China;1114
2063;China;1100
2064;China;1086
2065;China;1072
2066;China;1059
2067;China;1045
2068;China;1032
2069;China;1018
2070;China;1005
2071;China;992
2072;China;979
2073;China;966
2074;China;954
2075;China;941
2076;China;928
2077;China;915
2078;China;902
2079;China;890
2080;China;877
2081;China;864
2082;China;851
2083;China;838
2084;China;825
2085;China;812
2086;China;800
2087;China;787
2088;China;775
2089;China;763
2090;China;751
2091;China;739
2092;China;727
2093;China;716
2094;China;705
2095;China;693
2096;China;682
2097;China;671
2098;China;660
2099;China;649
2100;China;639
2024;India;1444
2025;India;1457
2026;India;1470
2027;India;1483
2028;India;1495
2029;India;1507
2030;India;1519
2031;India;1531
2032;India;1542
2033;India;1553
2034;India;1564
2035;India;1574
2036;India;1584
2037;India;1593
2038;India;1602
2039;India;1611
2040;India;1619
2041;India;1626
2042;India;1634
2043;India;1641
2044;India;1647
2045;India;1653
2046;India;1659
2047;India;1664
2048;India;1669
2049;India;1674
2050;India;1678
2051;India;1681
2052;India;1685
2053;India;1688
2054;India;1691
2055;India;1693
2056;India;1695
2057;India;1697
2058;India;1699
2059;India;1700
2060;India;1701
2061;India;1701
2062;India;1701
2063;India;1701
2064;India;1701
2065;India;1700
2066;India;1699
2067;India;1697
2068;India;1695
2069;India;1693
2070;India;1691
2071;India;1688
2072;India;1685
2073;India;1681
2074;India;1677
2075;India;1673
2076;India;1669
2077;India;1664
2078;India;1659
2079;India;1654
2080;India;1648
2081;India;1643
2082;India;1637
2083;India;1631
2084;India;1625
2085;India;1618
2086;India;1612
2087;India;1605
2088;India;1598
2089;India;1591
2090;India;1584
2091;India;1577
2092;India;1569
2093;India;1562
2094;India;1555
2095;India;1547
2096;India;1540
2097;India;1532
2098;India;1524
2099;India;1517
2100;India;1509
2024;Europa;745
2025;Europa;745
2026;Europa;744
2027;Europa;743
2028;Europa;742
2029;Europa;740
2030;Europa;739
2031;Europa;738
2032;Europa;736
2033;Europa;734
2034;Europa;733
2035;Europa;731
2036;Europa;730
2037;Europa;728
2038;Europa;726
2039;Europa;725
2040;Europa;723
2041;Europa;721
2042;Europa;719
2043;Europa;718
2044;Europa;716
2045;Europa;714
2046;Europa;712
2047;Europa;710
2048;Europa;708
2049;Europa;706
2050;Europa;704
2051;Europa;702
2052;Europa;699
2053;Europa;697
2054;Europa;694
2055;Europa;692
2056;Europa;689
2057;Europa;686
2058;Europa;683
2059;Europa;680
2060;Europa;677
2061;Europa;675
2062;Europa;672
2063;Europa;669
2064;Europa;666
2065;Europa;663
2066;Europa;660
2067;Europa;658
2068;Europa;655
2069;Europa;652
2070;Europa;650
2071;Europa;647
2072;Europa;645
2073;Europa;642
2074;Europa;640
2075;Europa;638
2076;Europa;636
2077;Europa;633
2078;Europa;631
2079;Europa;629
2080;Europa;627
2081;Europa;625
2082;Europa;623
2083;Europa;622
2084;Europa;620
2085;Europa;618
2086;Europa;616
2087;Europa;614
2088;Europa;613
2089;Europa;611
2090;Europa;609
2091;Europa;608
2092;Europa;606
2093;Europa;604
2094;Europa;603
2095;Europa;601
2096;Europa;600
2097;Europa;598
2098;Europa;596
2099;Europa;595
2100;Europa;593
2024;Africa;1498
2025;Africa;1532
2026;Africa;1567
2027;Africa;1603
2028;Africa;1638
2029;Africa;1673
2030;Africa;1709
2031;Africa;1745
2032;Africa;1781
2033;Africa;1818
2034;Africa;1854
2035;Africa;1891
2036;Africa;1928
2037;Africa;1965
2038;Africa;2002
2039;Africa;2040
2040;Africa;2077
2041;Africa;2114
2042;Africa;2152
2043;Africa;2189
2044;Africa;2226
2045;Africa;2264
2046;Africa;2301
2047;Africa;2338
2048;Africa;2375
2049;Africa;2412
2050;Africa;2448
2051;Africa;2485
2052;Africa;2521
2053;Africa;2558
2054;Africa;2593
2055;Africa;2629
2056;Africa;2665
2057;Africa;2700
2058;Africa;2735
2059;Africa;2770
2060;Africa;2804
2061;Africa;2839
2062;Africa;2873
2063;Africa;2906
2064;Africa;2939
2065;Africa;2972
2066;Africa;3004
2067;Africa;3036
2068;Africa;3068
2069;Africa;3099
2070;Africa;3130
2071;Africa;3160
2072;Africa;3190
2073;Africa;3220
2074;Africa;3249
2075;Africa;3277
2076;Africa;3305
2077;Africa;3333
2078;Africa;3360
2079;Africa;3386
2080;Africa;3412
2081;Africa;3437
2082;Africa;3462
2083;Africa;3486
2084;Africa;3510
2085;Africa;3533
2086;Africa;3555
2087;Africa;3577
2088;Africa;3599
2089;Africa;3619
2090;Africa;3639
2091;Africa;3659
2092;Africa;3678
2093;Africa;3696
2094;Africa;3713
2095;Africa;3730
2096;Africa;3747
2097;Africa;3763
2098;Africa;3778
2099;Africa;3793
2100;Africa;3807
2024;South America;434
2025;South America;437
2026;South America;439
2027;South America;442
2028;South America;444
2029;South America;446
2030;South America;448
2031;South America;450
2032;South America;452
2033;South America;454
2034;South America;455
2035;South America;457
2036;South America;459
2037;South America;460
2038;South America;461
2039;South America;463
2040;South America;464
2041;South America;465
2042;South America;466
2043;South America;466
2044;South America;467
2045;South America;468
2046;South America;468
2047;South America;468
2048;South America;469
2049;South America;469
2050;South America;469
2051;South America;469
2052;South America;468
2053;South America;468
2054;South America;468
2055;South America;467
2056;South America;467
2057;South America;466
2058;South America;465
2059;South America;464
2060;South America;463
2061;South America;462
2062;South America;461
2063;South America;460
2064;South America;459
2065;South America;457
2066;South America;456
2067;South America;455
2068;South America;453
2069;South America;451
2070;South America;450
2071;South America;448
2072;South America;446
2073;South America;444
2074;South America;442
2075;South America;440
2076;South America;438
2077;South America;436
2078;South America;434
2079;South America;432
2080;South America;429
2081;South America;427
2082;South America;425
2083;South America;423
2084;South America;420
2085;South America;418
2086;South America;415
2087;South America;413
2088;South America;411
2089;South America;408
2090;South America;406
2091;South America;403
2092;South America;401
2093;South America;398
2094;South America;395
2095;South America;393
2096;South America;390
2097;South America;388
2098;South America;385
2099;South America;383
2100;South America;380
2024;Oceania;46
2025;Oceania;46
2026;Oceania;47
2027;Oceania;47
2028;Oceania;48
2029;Oceania;48
2030;Oceania;49
2031;Oceania;49
2032;Oceania;50
2033;Oceania;50
2034;Oceania;51
2035;Oceania;51
2036;Oceania;52
2037;Oceania;52
2038;Oceania;52
2039;Oceania;53
2040;Oceania;53
2041;Oceania;54
2042;Oceania;54
2043;Oceania;55
2044;Oceania;55
2045;Oceania;55
2046;Oceania;56
2047;Oceania;56
2048;Oceania;57
2049;Oceania;57
2050;Oceania;57
2051;Oceania;58
2052;Oceania;58
2053;Oceania;59
2054;Oceania;59
2055;Oceania;59
2056;Oceania;60
2057;Oceania;60
2058;Oceania;60
2059;Oceania;61
2060;Oceania;61
2061;Oceania;62
2062;Oceania;62
2063;Oceania;62
2064;Oceania;63
2065;Oceania;63
2066;Oceania;63
2067;Oceania;64
2068;Oceania;64
2069;Oceania;64
2070;Oceania;65
2071;Oceania;65
2072;Oceania;65
2073;Oceania;65
2074;Oceania;66
2075;Oceania;66
2076;Oceania;66
2077;Oceania;67
2078;Oceania;67
2079;Oceania;67
2080;Oceania;68
2081;Oceania;68
2082;Oceania;68
2083;Oceania;68
2084;Oceania;69
2085;Oceania;69
2086;Oceania;69
2087;Oceania;69
2088;Oceania;70
2089;Oceania;70
2090;Oceania;70
2091;Oceania;71
2092;Oceania;71
2093;Oceania;71
2094;Oceania;71
2095;Oceania;72
2096;Oceania;72
2097;Oceania;72
2098;Oceania;72
2099;Oceania;73
2100;Oceania;73
2024;North America;611
2025;North America;615
2026;North America;619
2027;North America;623
2028;North America;627
2029;North America;631
2030;North America;634
2031;North America;638
2032;North America;641
2033;North America;645
2034;North America;648
2035;North America;651
2036;North America;654
2037;North America;657
2038;North America;660
2039;North America;663
2040;North America;666
2041;North America;668
2042;North America;671
2043;North America;673
2044;North America;676
2045;North America;678
2046;North America;680
2047;North America;682
2048;North America;684
2049;North America;686
2050;North America;687
2051;North America;689
2052;North America;690
2053;North America;692
2054;North America;693
2055;North America;694
2056;North America;695
2057;North America;697
2058;North America;698
2059;North America;699
2060;North America;700
2061;North America;701
2062;North America;702
2063;North America;703
2064;North America;704
2065;North America;705
2066;North America;706
2067;North America;707
2068;North America;708
2069;North America;708
2070;North America;709
2071;North America;710
2072;North America;710
2073;North America;711
2074;North America;712
2075;North America;712
2076;North America;713
2077;North America;713
2078;North America;713
2079;North America;713
2080;North America;714
2081;North America;714
2082;North America;714
2083;North America;714
2084;North America;714
2085;North America;714
2086;North America;713
2087;North America;713
2088;North America;713
2089;North America;713
2090;North America;713
2091;North America;712
2092;North America;712
2093;North America;712
2094;North America;712
2095;North America;711
2096;North America;711
2097;North America;711
2098;North America;710
2099;North America;710
2100;North America;710
